question_no,media_no,file_name,media_path,source_stream
8,1,q008_media_1.gif,media/q008_media_1.gif,BinData/BIN0001.tmp
22,1,q022_media_1.gif,media/q022_media_1.gif,BinData/BIN0002.tmp
23,1,q023_media_1.gif,media/q023_media_1.gif,BinData/BIN0003.tmp
24,1,q024_media_1.gif,media/q024_media_1.gif,BinData/BIN0004.tmp
27,1,q027_media_1.gif,media/q027_media_1.gif,BinData/BIN0005.tmp
28,1,q028_media_1.gif,media/q028_media_1.gif,BinData/BIN0006.tmp
38,1,q038_media_1.gif,media/q038_media_1.gif,BinData/BIN0007.tmp
43,1,q043_media_1.gif,media/q043_media_1.gif,BinData/BIN0008.tmp
43,2,q043_media_2.gif,media/q043_media_2.gif,BinData/BIN0009.tmp
43,3,q043_media_3.gif,media/q043_media_3.gif,BinData/BIN000A.tmp
43,4,q043_media_4.gif,media/q043_media_4.gif,BinData/BIN000B.tmp
43,5,q043_media_5.gif,media/q043_media_5.gif,BinData/BIN000C.tmp
49,1,q049_media_1.gif,media/q049_media_1.gif,BinData/BIN000D.tmp
63,1,q063_media_1.gif,media/q063_media_1.gif,BinData/BIN000E.tmp
64,1,q064_media_1.gif,media/q064_media_1.gif,BinData/BIN000F.tmp
66,1,q066_media_1.gif,media/q066_media_1.gif,BinData/BIN0010.tmp
68,1,q068_media_1.gif,media/q068_media_1.gif,BinData/BIN0011.tmp
71,1,q071_media_1.gif,media/q071_media_1.gif,BinData/BIN0012.tmp
73,1,q073_media_1.gif,media/q073_media_1.gif,BinData/BIN0013.tmp
90,1,q090_media_1.gif,media/q090_media_1.gif,BinData/BIN0014.tmp
92,1,q092_media_1.gif,media/q092_media_1.gif,BinData/BIN0015.tmp
