question_no,choice_no,choice_text,is_correct
1,1,요구사항이 고객이 정말 원하는 시스템을 제대로 정의하고 있는지 점검하는 과정이다.,False
1,2,개발완료 이후에 문제점이 발견될 경우 막대한 재작업 비용이 들 수 있기 때문에 요구사항 검증은 매우 중요하다.,False
1,3,"요구사항이 실제 요구를 반영하는지, 문서상의 요구사항은 서로 상충되지 않는지 등을 점검한다.",False
1,4,요구사항 검증 과정을 통해 모든 요구사항 문제를 발견할 수 있다.,True
2,1,Association,False
2,2,Dependency,True
2,3,Realization,False
2,4,Generalization,False
3,1,빠른 개발을 위해 테스트를 수행하지 않는다.,True
3,2,사용자의 요구사항은 언제든지 변할 수있다.,False
3,3,고객과 직접 대면하며 요구사항을 이야기하기 위해 사용자 스토리(User Story)를 활용할 수 있다.,False
3,4,기존의 방법론에 비해 실용성(Pragmatism)을 강조한 것이라고 볼 수있다.,False
4,1,자료 추상화,False
4,2,제어 추상화,False
4,3,과정 추상화,False
4,4,강도 추상화,True
5,1,필요하지 않은 정보는 접근할 수 없도록 하여 한 모듈 또는 하부시스템이 다른 모듈의 구현에 영향을 받지 않게 설계되는것을 의미한다.,False
5,2,모듈들 사이의 독립성을 유지시키는 데 도움이 된다.,False
5,3,"설계에서 은닉되어야 할 기본 정보로는 IP주소와 같은 물리적 코드, 상세 데이터 구조 등이 있다.",False
5,4,모듈 내부의 자료 구조와 접근 동작들에만 수정을 국한하기 때문에 요구사항 등변화에 따른 수정이 불가능하다.,True
6,1,개발팀이 응용문제를 이해하는 데 도움을 줄 수 있다.,False
6,2,유지보수 단계에서만 모델링 기법을 활용한다.,True
6,3,개발될 시스템에 대하여 여러 분야의 엔지니어들이 공통된 개념을 공유하는 데 도움을 준다.,False
6,4,절차적인 프로그램을 위한 자료흐름도는 프로세스 위주의 모델링 방법이다.,False
7,1,요구 분석은 소프트웨어 개발의 실제적인 첫 단계로 사용자의 요구에 대해 이해하는 단계라 할 수 있다.,False
7,2,요구 추출(Requirement Elicitation)은 프로젝트 계획 단계에 정의한 문제의 범위 안에 있는 사용자의 요구를 찾는 단계이다.,False
7,3,도메인 분석(Domain Analysis)은 요구에 대한 정보를 수집하고 배경을 분석하여 이를 토대로 모델링을 하게 된다.,False
7,4,"기능적(Functional) 요구에서 시스템 구축에대한 성능, 보안, 품질, 안정 등에 대한 요구사항을 도출한다.",True
8,1,Instance,False
8,2,Operation,True
8,3,Item,False
8,4,Hiding,False
9,1,일반적으로 실시간 시스템에서 사용된다.,False
