question_no,choice_no,choice_text,is_correct
1,1,객체 간의 동적 상호작용을 시간 개념을 중심으로 모델링 하는 것이다.,False
1,2,주로 시스템의 정적 측면을 모델링하기 위해 사용한다.,True
1,3,일반적으로 다이어그램의 수직 방향이 시간의 흐름을 나타낸다.,False
1,4,"회귀 메시지(Self-Message), 제어블록(Statement block) 등으로 구성된다.",False
2,1,느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온라인 업무에 적합하다.,True
2,2,독립적인 애플리케이션을 하나의 통합된 시스템으로 묶기 위한 역할을 한다.,False
2,3,송신측과 수신측의 연결 시 메시지 큐를 활용하는 방법이 있다.,False
2,4,상이한 애플리케이션 간 통신을 비동기 방식으로 지원한다.,False
3,1,대표적인 구조적 방법론 중 하나이다.,True
3,2,소규모 개발 조직이 불확실하고 변경이 많은 요구를 접하였을 때 적절한 방법이다.,False
3,3,익스트림 프로그래밍을 구동시키는 원리는 상식적인 원리와 경험을 최대한 끌어 올리는 것이다.,False
3,4,"구체적인 실천 방법을 정의하고 있으며, 개발 문서 보다는 소스코드에 중점을 둔다.",False
4,1,연관,False
4,2,확장,False
4,3,구체화,True
4,4,일반화,False
5,1,"시스템의 처리량(Throughput), 반응 시간 등의 성능 요구나 품질 요구는 비기능적 요구에 해당하지 않는다.",False
5,2,'차량 대여 시스템이 제공하는 모든 화면이 3초 이내에 사용자에게 보여야 한다'는 비기능적 요구이다.,True
5,3,"시스템 구축과 관련된 안전, 보안에 대한 요구사항들은 비기능적 요구에 해당하지 않는다.",False
5,4,"'금융 시스템은 조회, 인출, 입금, 송금의 기능이 있어야 한다'는 비기능적 요구이다.",False
6,1,Package Diagram,False
6,2,State Transition Diagram,False
6,3,Deployment Diagram,False
6,4,Entity-Relationship Diagram,True
7,1,여러 운영체제에서 응용 프로그램들 사이에 위치한 소프트웨어이다.,False
7,2,미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법 등의 내부 동작을 쉽게 확인할 수 있어야 한다.,True
7,3,소프트웨어 컴포넌트를 연결하기 위한 준비된 인프라 구조를 제공한다.,False
7,4,"여러 컴포넌트를 1대 1, 1대 다, 다대 다 등 여러 가지 형태로 연결이 가능하다.",False
8,1,이해하기 편하고 쉽게 사용할 수 있는 환경을 제공해야 한다.,False
8,2,주요 기능을 메인 화면에 노출하여 조작이 쉽도록 하여야 한다.,False
8,3,치명적인 오류에 대한 부정적인 사항은 사용자가 인지할 수 없도록 한다.,True
8,4,"사용자의 직무, 연령, 성별 등 다양한 계층을 수용하여야 한다.",False
9,1,다형성은 현재 코드를 변경하지 않고 새로운 클래스를 쉽게 추가할 수 있게 한다.,False
9,2,"다형성이란 여러 가지 형태를 가지고 있다는 의미로, 여러 형태를 받아들일 수 있는 특징을 말한다.",False
9,3,메소드 오버라이딩(Overriding)은 상위 클래스에서 정의한 일반 메소드의 구현을 하위 클래스에서 무시하고 재정의할 수 있다.,False
9,4,"메소드 오버로딩(Overloading)의 경우 매개 변수 타입은 동일하지만 메소드명을 다르게 함으로써 구현, 구분할 수 있다.",True
10,1,기능(Function),False
10,2,성능(Performance),False
10,3,제약 조건(Constraint),False
10,4,인터페이스(Interface),True
11,1,"객체는 상태, 동작, 고유 식별자를 가진 모든 것이라 할 수 있다.",False
11,2,객체는 공통 속성을 공유하는 클래스들의 집합이다.,True
11,3,객체는 필요한 자료 구조와 이에 수행되는 함수들을 가진 하나의 독립된 존재이다.,False
11,4,객체의 상태는 속성값에 의해 정의된다.,False
12,1,Inheritance ¼,False
12,2,Class,False
12,3,Encapsulation,True
12,4,Association,False
13,1,변화에 대한 대응보다는 자세한 계획을 중심으로 소프트웨어를 개발한다.,True
13,2,프로세스와 도구 중심이 아닌 개개인과의 상호소통을 통해 의견을 수렴한다.,False
13,3,협상과 계약보다는 고객과의 협력을 중시한다.,False
13,4,"문서 중심이 아닌, 실행 가능한 소프트웨어를 중시한다.",False
14,1,Model,False
14,2,Sheet,False
14,3,Component,True
14,4,Cell,False
15,1,Adapter 패턴,False
15,2,Bridge 패턴,False
15,3,Builder 패턴,True
15,4,Proxy 패턴,False
16,1,Feedback,True
16,2,Posture,False
16,3,Module,False
16,4,Hash,False
17,1,GUI(Graphical User Interface),False
17,2,OUI(Organic User Interface),False
17,3,NUI(Natural User Interface),True
17,4,CLI(Command Line Interface),False
18,1,모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄 수 없다.,True
18,2,"구조적 방법론에서는 DFD(Data Flow Diagram), DD(Data Dictionary) 등을 사용하여 요구 사항의 결과를 표현한다.",False
18,3,객체지향 방법론에서는 UML 표기법을 사용한다.,False
18,4,소프트웨어 모델을 사용할 경우 개발될 소프트웨어에 대한 이해도 및 이해 당사자 간의 의사소통 향상에 도움이 된다.,False
19,1,시스템과 상호작용하는 외부시스템은 액터로 파악해서는 안된다.,True
19,2,"유스케이스는 사용자 측면에서의 요구사항으로, 사용자가 원하는 목표를 달성하기 위해 수행할 내용을 기술한다.",False
19,3,"시스템 액터는 다른 프로젝트에서 이미 개발되어 사용되고 있으며, 본 시스템과 데이터를 주고받는 등 서로 연동되는 시스템을 말한다.",False
19,4,액터가 인식할 수 없는 시스템 내부의 기능을 하나의 유스케이스로 파악해서는 안된다.,False
20,1,"MVC 모델은 사용자 인터페이스를 담당하는 계층의 응집도를 높일 수 있고, 여러 개의 다른 UI를 만들어 그 사이에 결합도를 낮출 수 있다.",False
20,2,"모델(Model)은 뷰(View)와 제어(Controller) 사이에서 전달자 역할을 하며, 뷰마다 모델 서브시스템이 각각 하나씩 연결된다.",True
20,3,뷰(View)는 모델(Model)에 있는 데이터를 사용자 인터페이스에 보이는 역할을 담당한다.,False
20,4,제어(Controller)는 모델(Model)에 명령을 보냄으로써 모델의 상태를 변경할 수 있다. 氠瑢 2과목 : 소프트웨어 개발,False
21,1,시스템을 구성하는 모듈의 인터페이스와 결합을 테스트하는 것이다.,False
21,2,하향식 통합 테스트의 경우 넓이 우선(Breadth First) 방식으로 테스트를 할 모듈을 선택할 수 있다.,False
21,3,상향식 통합 테스트의 경우 시스템 구조도의 최상위에 있는 모듈을 먼저 구현하고 테스트한다.,True
21,4,모듈 간의 인터페이스와 시스템의 동작이 정상적으로 잘되고 있는지를 빨리 파악하고자 할 때 상향식 보다는 하향식 통합 테스트를 사용하는 것이 좋다.,False
22,1,2,False
22,2,3,True
22,3,4,False
22,4,5,False
23,1,"사용사례를 확장하여 명세하거나 설계 다이어그램, 원시코드, 테스트 케이스 등에 적용할 수 있다.",False
23,2,"복잡한 알고리즘 또는 반복, 실시간 동작, 병행 처리와 같은 기능이나 동작을 이해하려고 할 때 유용하다.",False
23,3,인스펙션(Inspection)과 동일한 의미를 가진다.,True
23,4,단순한 테스트 케이스를 이용하여 프로덕트를 수작업으로 수행해 보는 것이다.,False
24,1,복호화,False
24,2,형상관리,True
24,3,저작권,False
24,4,크랙,False
25,1,테스트의 목표 및 테스트 방법을 결정하기 전에 테스트 케이스를 작성해야 한다.,True
25,2,프로그램에 결함이 있더라도 입력에 대해 정상적인 결과를 낼 수 있기 때문에 결함을 검사할 수 있는 테스트 케이스를 찾는 것이 중요하다.,False
25,3,"개발된 서비스가 정의된 요구 사항을 준수하는지 확인하기 위한 입력 값과 실행 조건, 예상 결과의 집합으로 볼 수 있다.",False
25,4,테스트 케이스 실행이 통과되었는지 실패하였는지 판단하기 위한 기준을 테스트 오라클(Test Oracle)이라고 한다.,False
26,1,객체(Object)란 필요한 자료 구조와 수행되는 함수들을 가진 하나의 독립된 존재이다.,False
26,2,JAVA에서 정보은닉(Information Hiding)을 표기할 때 private의 의미는 '공개'이다.,True
26,3,상속(Inheritance)은 개별 클래스를 상속 관계로 묶음으로써 클래스 간의 체계화된 전체 구조를 파악하기 쉽다는 장점이 있다.,False
26,4,같은 클래스에 속하는 개개의 객체이자 하나의 클래스에서 생성된 객체를 인스턴스(Instance)라고 한다.,False
27,1,"디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는 접근 제어 기술을 의미한다.",False
27,2,"디지털 미디어의 생명 주기 동안 발생하는 사용 권한 관리, 과금, 유통 단계를 관리하는 기술로도 볼 수 있다.",False
27,3,클리어링 하우스(Clearing House)는 사용자에게 콘텐츠 라이센스를 발급하고 권한을 부여해주는 시스템을 말한다.,False
