question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
1,1,소프트웨어 설계,MULTIPLE_CHOICE,UML 다이어그램 중 순차 다이어그램에 대한 설명으로 틀린 것은?,2,False,,"- 순차 다이어그램은 행위 다이어그램이므로 동적이고, 순차적인 표현을 위한 다이어그램이다. [해설작성자 : 두목넷]",USER_IMPORTED_HWP
2,1,소프트웨어 설계,MULTIPLE_CHOICE,"메시지 지향 미들웨어(Message-Oriented Middleware, MOM)에 대한 설명으로 틀린 것은?",1,False,,MOM(Message Oriented Middleware) - 메시지 기반의 비동기형 메시지를 전달하는 방식의 미들웨어이다. - 온라인 업무보다는 이기종 분산 데이터 시스템의 데이터 동기를 위해 많이 사용한다. [해설작성자 : 두목넷] MOM(Message Oriented Middleware)은 ﻿즉각적인 응답을 원하는 경우가 아니라 다소 느리고 안정적인 응답을 필요로 하는 경우에 많이 사용됩니다. [해설작성자 : 세유니에용],USER_IMPORTED_HWP
3,1,소프트웨어 설계,MULTIPLE_CHOICE,익스트림 프로그래밍에 대한 설명으로 틀린 것은?,1,False,,"1. 구조적 방법론이 아니라 애자일 방법론 중 하나이다. [해설작성자 : 지나가는 행인] 구조적 방법론은 계획 중심의 접근 방식을 따르는 반면, 익스트림 프로그래밍은 반복적이고 점진적인 개발을 강조하여 변화에 유연하게 대응할 수 있도록 설계된 방법론으로 차이가 있다.. [해설작성자 : 노작가]",USER_IMPORTED_HWP
4,1,소프트웨어 설계,MULTIPLE_CHOICE,유스케이스(Use Case)의 구성 요소 간의 관계에 포함되지 않는 것은?,3,False,,"유스케이스(Use Case)의 구성 요소 간의 관계 - 연관관계(Association) : 유스케이스와 액터간의 상호작용이 있음을 표현한다. - 포함 관계(Include): 하나의 유스케이스가 다른 유스케이스의 실행을 전제로 할 때 형성되는 관계이다. - 확장 관계(Extend): 확장 기능 유스케이스와 확장 대상 유스케이스 사이에 형성 되는 관계이다. - 일반화 관계(Generalization) : 유사한 유스케이스 또는 액터를 모아 추상화한 유스케이스 또는 액터와 연결시켜 그룹을 만들어 이해도를 높이기 위한 관계이다. [해설작성자 : 두목넷] - 연관 (Association) : 유스케이스와 액터 간의 연결을 나타내며, 액터가 유스케이스를 사용하는 방식을 표시합니다. - 확장 (Extend) : 하나의 유스케이스가 다른 유스케이스의 기능을 확장할 수 있도록 하는 관계입니다..확장되는 유스케이스는 추가적인 기능을 제공할 수 있지만, 기본 유스케이스 없이는 독립적으로 실행되지 않습니다. - 구체화 (Realization) : 보통 유스케이스에서는 사용되지 않으며, 보다 일반적으로 소프트웨어에서 요구 사항이나 개념을 구체적인 설계나 구현으로 전환하는 과정을 설명할 때 사용됩니다. - 일반화 (Generalization) : 한 유스케이스가 다른 유스케이스의 특수 형태인 경우, 이 관계를 사용하여 표현합니다..기본적으로 '상속' 관계와 유사하며, 일반 유스케이스의 기능을 확장하거나 재정의합니다. [해설작성자 : 노작가] UML 구성요소 * 4 사물(구조,행동,그룹,주해) * 6 관계(연관vs의존,집합vs포함, 일반화vs실체화) * 13 다이어그램 (6개 구조다이그램, 7개 행위 다이어그램) ** 6 구조 UML 다이어그램 (클래스, 객체, 컴포넌트, 배치, 복합구조, 패키지) ** 7 행위 UML 다이어그램 (유스케이스, 시퀀스(순차), 커뮤니케이션, 스테이트(상태), 액티비티(활동) 상호작용개요, 타이밍) 이 중 클래스, 유스케이스, 시퀀스에 대해 자세히 알아야됨 ^^^ 이 문제의 유스케이스 관계에 대한 요약은 상기 내용 보시면 됨 ** 유스케이스 다이어그램의 구성요소 : 시스템범위, 액터, 유스케이스, 관계 유스케이스 다이어그램 관계 종류 : 연관, 포함, 확장, 일반화 4가지 ... UML 구성요소인 관계와 헷가리면 안됨 [해설작성자 : 이루기]",USER_IMPORTED_HWP
5,1,소프트웨어 설계,MULTIPLE_CHOICE,요구사항 분석에서 비기능적(Nonfunctional) 요구에 대한 설명으로 옳은 것은?,2,False,,"기능적 요구사항 Vs 비기능적 요구사항 - 기능적 요구사항 : 시스템이 실제로 어떻게 동작하는지에 관점을 둔 요구사항 - 비기능적 요구사항 : 시스템 구축에 대한 성능, 보안, 품질, 안정 등에 대한 성능, 보안, 품질, 안정성등으로 실제 수행에 보조적인 요구사항 오답피하기 - 차량 대여 시스템이 제공하는 모든 화면이 3초 이내에 사용자에게 보여야 한다' 는 성능에 해당 하므로 비기능적 요구사항에 해당한다. [해설작성자 : 두목넷]",USER_IMPORTED_HWP
6,1,소프트웨어 설계,MULTIPLE_CHOICE,정보공학 방법론에서 데이터베이스 설계의 표현으로 사용하는 모델링 언어는?,4,False,,"1,2,3 uml다이어그램 4 정보공학방법론 [해설작성자 : 공부]",USER_IMPORTED_HWP
7,1,소프트웨어 설계,MULTIPLE_CHOICE,미들웨어(Middleware)에 대한 설명으로 틀린 것은?,2,False,,"- 클라이언트와 서버 간의 통신을 담당하는 시스템 소프트웨어이다. - 이기종 하드웨어, 소프트웨어, 네트워크, 프로토콜, PC 환경, 운영체제 환경 등에서 시스템 간의 표준화된 연결을 도와주는 소프트웨어이다. - 표준화된 인터페이스를 통하여 시스템 간의 데이터 교환에 있어 일관성을 제공한다. - 운영체제와 애플리케이션 사이에서 중간 매개 역할을 하는 다목적 소프트웨어이다. 오답 - 미들웨어 솔루션은 미들웨어의 서비스 이용을 위해 사용자가 정보 교환 방법 등의 내부 동작을 확인할 필요가 없다. [해설작성자 : 행복한버거] 사용자가 미들웨어의 정보 교환 방법 등의 내부 동작을 쉽게 확인할 수 있다면, 보안의 위협이 될 수 있으므로 확인할 수 없도록 해야함. [해설작성자 : 항공대미녀] 미들웨어(Middleware)는 사용자에게 초점이 맞추어져 소프트웨어 시스템에서 여러 구성 요소 간에 정보를 전달하고 상호 작용하는 역할을 하는 소프트웨어로 사용자는 내부 동작을 일일이 확인 할 필요가 없다. [해설작성자 : 선택결과] 사용자가 미들웨어의 내부 동작을 확인하기 위해서는 별도의 응용 소프트웨어가 사용되어야 함. [해설작성자 : 공부하는중년]",USER_IMPORTED_HWP
8,1,소프트웨어 설계,MULTIPLE_CHOICE,UI의 설계 지침으로 틀린 것은?,3,False,,"사용자 중심 : 사용자가 이해하기 쉽고 편하게 사용할 수 있는 환경을 제공해 실 사용자에 대한 이해가 바탕이 되어야 함 일관성 : 버튼이나 조작 방법을 사용자가 기억하기 빠르고 쉽게 습득할 수 있도록 설계해야 함 단순성 : 조작 방법은 가장 간단하게 작동되도록 하여 인지적 부담 최소화 결과 예측 가능 : 작동시킬 기능만 보고도 결과 예측이 가능해야 함 가시성 : 주요 기능을 메인 화면에 노출하여 쉬운 조작이 가능해야 함 표준화 : 디자인을 표준화하여 기능 구조의 선행 학습 이후 쉽게 사용 가능해야 함 접근성 : 사용자의 직무, 연령, 성별 등이 고려된 다양한 계층을 수용해야 함 명확성 : 사용자가 개념적으로 쉽게 인지해야함 오류 발생 해결 : 사용자가 오류에 대한 상황을 정확하게 인지할 수 있어야 함 [해설작성자 : pdh6941] 사용자가 UI를 통해서 프로그램을 사용할 때 발견할 수 있는 치명적 오류에 대한 부정적인 사항들을 인지할 수 있어야 프로그램의 개선이 가능하고 또 오류를 피할 수 있다. [해설작성자 : 선택결과]",USER_IMPORTED_HWP
9,1,소프트웨어 설계,MULTIPLE_CHOICE,객체지향 개념에서 다형성(Polymorphism)과 관련한 설명으로 틀린 것은?,4,False,,오버로딩 - 같은 이름의 메소드를 중복하여 정의하는것 [해설작성자 : 지나가는 행인] 오버로딩 - 한 클래스 내에서 메서드의 이름은 동일하지만 매개변수의 수나 타입을 다르게 하여 재정의 하는 것 오버라이딩 - 상속관계에서만 발생. 슈퍼클래스의 메서드를 서브클래스에서도 동일한 메서드를 재정의 하는 것 [해설작성자 : 칼방이] 오버로딩 • 함수명 같음. 리턴타입 관계없음. 매개변수타입 & 개수 다름 [해설작성자 : 공겹붙자],USER_IMPORTED_HWP
10,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 개발 영역을 결정하는 요소 중 다음 사항과 관계있는 것은? [이미지 자료 참조],4,True,media/q010_media_1.gif,인터페이스: 서로 다른 두 시스템이나 소프트웨어 등을 서로 이어주는 부분 또는 접속 장치를 의미 [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
